事件,离散分布,常见情况,离散分布,常见情况
单样本互斥事件,"Bern(p)",成功概率,"Geom(p)",失败概率
多样本互斥事件,"Bin(n, p)",多次成功概率,"NBin(n, p)",连续失败概率
多样本互斥事件,"HGeom(N, m, n)",同时成功概率,"NHGeom(N, m, r)",同时失败概率
